"Decision","Subtipo","Motivo","Archivo","Bytes"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Enums\RoleName.php","154"
"KEEP","KEEP","Estructura técnica de cache de la plataforma","app\Platform\Cache\.gitkeep","0"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Platform\Http\.gitkeep","0"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Platform\Integrations\.gitkeep","0"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Platform\Mail\.gitkeep","0"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Platform\Queue\.gitkeep","0"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Platform\Storage\.gitkeep","0"
"KEEP","KEEP","Infraestructura base Laravel","app\Providers\AppServiceProvider.php","361"
"KEEP","KEEP","Infraestructura base Laravel","artisan","425"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\app.php","601"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\cache\.gitignore","14"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\cache\pacE279.tmp","1092"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\cache\packages.php","957"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\cache\services.php","22967"
"KEEP","KEEP","Infraestructura base Laravel","bootstrap\providers.php","148"
"KEEP","KEEP","Infraestructura base Laravel","composer.json","2484"
"KEEP","KEEP","Infraestructura base Laravel","composer.lock","311122"
"KEEP","KEEP","Infraestructura base Laravel","config\app.php","4272"
"KEEP","KEEP","Infraestructura base Laravel","config\auth.php","4029"
"KEEP","KEEP","Infraestructura base Laravel","config\cache.php","3480"
"KEEP","KEEP","Infraestructura base Laravel","config\database.php","6850"
"KEEP","KEEP","Infraestructura base Laravel","config\erp.php","266"
"KEEP","KEEP","Infraestructura base Laravel","config\filesystems.php","2500"
"KEEP","KEEP","Infraestructura base Laravel","config\logging.php","4327"
"KEEP","KEEP","Infraestructura base Laravel","config\mail.php","3614"
"KEEP","KEEP","Infraestructura base Laravel","config\queue.php","3824"
"KEEP","KEEP","Infraestructura base Laravel","config\services.php","1035"
"KEEP","KEEP","Infraestructura base Laravel","config\session.php","7839"
"KEEP","KEEP","Control estructural de directorios","database\.gitignore","10"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-000-Carta_del_Proyecto.md","5439"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-001-VISION.md","4457"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-014-GUIA_EDITORIAL.md","393"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-02-MISION.md","4258"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-03-VALORES.md","386"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-04-PRINCIPIOS_DE_ARQUITECTURA.md","426"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-05-LENGUAJE_OFICIAL_DE_MEF.md","375"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-06-GOBERNANZA_TECNICA.md","415"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-07-MANIFIESTO_DE_INGENIERIA_DE_DESARROLLO.md","386"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-08-DECALOGO_DEL_DESARROLLADOR.md","391"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-09-FILOSOFIA_DE_DISENO.md","397"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-10-ARBOL_DE_DECISIONES.md","394"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-11-DOCTRINA_DE_ARQUITECTURA.md","391"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-12-CONSTITUCION_DE_MEF.md","420"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\FND-13-INDEPENDENCIA_DEL_FRAMEWORK.md","492"
"KEEP","KEEP","Documentación normativa vigente","docs\00-FUNDACION\README.md","496"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-000-ARQUITECTURA_GENERAL.md","430"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-001-VISION_ARQUITECTONICA.md","400"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-002-CORE.md","383"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-003-PLATFORM.md","398"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-004-MODULES.md","14248"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-005-KERNEL.md","385"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-006-REGISTRY.md","378"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-007-SERVICE_CONTAINER.md","442"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-008-EVENT_BUS.md","416"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-009-BUILDERS.md","429"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-010-TEMPLATE_ENGINE.md","5387"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-011-CONTRACTS.md","6149"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-012-DEPENDENCY_INJECTION.md","5772"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-013-CONFIGURATION.md","6811"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-014-FRAMEWORK_LIFECYCLE.md","439"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-015-EXTENSION_MODEL.md","435"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-016-SECURITY.md","428"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\ARQ-017-PACKAGING.md","5394"
"KEEP","KEEP","Documentación normativa vigente","docs\01-ARQUITECTURA\README.md","391"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_1_INVENTARIO_ENG_000_100.md","3998"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_10_CIERRE_FORMAL_02_INGENIERIA.md","11957"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_2_ENG_000_100.md","17273"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_3_DEPENDENCIAS_RELACIONADOS_ENG_000_100.md","9921"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_4_FRONTERAS_AUTORIDAD_CONCEPTUAL_ENG_000_100.md","14449"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_5_INVARIANTES_EI_CONTINUIDAD_GLOBAL_ENG_000_100.md","8587"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_6_ESTRUCTURA_NORMATIVA_INTERNA_ENG_000_100.md","6818"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_7_COHERENCIA_ARQUITECTONICA_GLOBAL_ENG_000_100.md","10693"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_8_CORRECCIONES_CONTROLADAS.md","1930"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_9_1A_COMPARATIVA_FORMATO_ENG_090_100.md","10547"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_9_1B_RESTAURACION_FUSION_CANONICA_ENG_094_100.md","2580"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_9_1C_VALIDACION_CANONICOS_ENG_094_100.md","3678"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\AUDITORIA\AUDITORIA_FASE_9_REAUDITORIA_INTEGRAL_ENG_000_100.md","4369"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-000-INGENIERIA_GENERAL.md","18939"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-001-ORGANIZACION_DEL_CODIGO.md","23031"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-002-ESPECIFICACION_DE_MODULES.md","22855"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-003-MANIFEST.md","25187"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-004-CONVENCIONES.md","32847"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-005-NOMENCLATURA.md","42260"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md","31572"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-007-CLI.md","26816"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-008-GENERADORES.md","24956"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-009-TESTING.md","31932"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-010-LOGGING.md","33696"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-011-CONFIGURATION_FILES.md","43074"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-012-BUILD_SYSTEM.md","30305"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-013-PACKAGE_MANAGER.md","50246"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-014-VERSIONADO.md","47413"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-015-ARCHITECTURAL_STATE_MACHINE.md","49013"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-016-COMPATIBILITY.md","50698"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-017-RELEASE_PROCESS.md","50101"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-018-DEPENDENCY_INJECTION.md","51650"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-019-SERVICE_CONTAINER.md","46660"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-020-REGISTRY_ENGINNEERING.md","51269"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-021-CONTRACTS_ENGINNEERING.md","54767"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-022-EVENT_BUS_ENGINNEERING.md","55698"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-023-ERROR_HANDLING.md","52978"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-024-SECURITY_ENGINEERING.md","65864"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-025-OBSERVABILITY_ENGINEERING.md","49278"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-026-RUNTIME_PERFORMANCE_ENGINEERING.md","75391"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-027-RUNTIME_ENGINEERING.md","59168"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-028-MODULE_ENGINEERING.md","52138"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-029-EXTENSION_ENGINEERING.md","42436"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-030-PERSISTENCE_ENGINEERING.md","49271"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-031-SERIALIZATION_ENGINEERING.md","50443"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-032-TRANSPORT_ENGINEERING.md","49278"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-033-INTERFACE_ENGINEERING.md","35290"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-034-APPLICATION_ENGINEERING.md","48868"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-035-DOMAIN_ENGINEERING.md","58919"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-036-VALIDATION_ENGINEERING.md","48030"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-037-CACHING_ENGINEERING.md","49608"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-038-CONCURRENCY_ENGINEERING.md","51539"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-039-RESILIENCE_ENGINEERING.md","49023"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-040-SCHEDULING_BACKGROUND_JOBS_ENGINEERING.md","60989"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-041-MESSAGING_ENGINEERING.md","60265"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-042-TRANSACTION_ENGINEERING.md","54588"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-043-DATA_ACCESS_ENGINEERING.md","51302"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-044-API_ENGINEERING.md","60558"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-045-AUTHENTICATION_ENGINEERING.md","62484"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-046-AUTHORIZATION_ENGINEERING.md","62820"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-047-IDENTITY_ACCESS_MANAGEMENT_ENGINEERING.md","65073"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-048-MULTI_TENANCY_ENGINEERING.md","60569"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-049-CONFIGURATION_MANAGEMENT_ENGINEERING.md","57843"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-050-FEATURE_MANAGEMENT_ENGINEERING.md","50269"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-051-POLICY_ENGINEERING.md","52817"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-052-WORKFLOW_ENGINEERING.md","59345"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-053-STATE_MANAGEMENT_ENGINEERING.md","53364"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-054-RESOURCE_MANAGEMENT_ENGINEERING.md","55960"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-055-LIFECYCLE_MANAGEMENT_ENGINEERING.md","55544"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-056-CONTEXT_MANAGEMENT_ENGINEERING.md","55135"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-057-METADATA_ENGINEERING.md","51326"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-058-DISCOVERY_ENGINEERING.md","56544"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-059-RESOLUTION_ENGINEERING.md","63654"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-060-PLUGIN_ENGINEERING.md","74829"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-061-INTEROPERABILITY_ENGINEERING.md","48604"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-062-SCHEMA_ENGINEERING.md","49475"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-063-DATA_TRANSFORMATION_ENGINEERING.md","47225"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-064-DATA_PIPELINE_ENGINEERING.md","51296"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-065-MIGRATION_ENGINEERING.md","54735"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-066-UPGRADE_ENGINEERING.md","48688"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-067-DEPLOYMENT_ENGINEERING.md","51149"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-068-ENVIRONMENT_ENGINEERING.md","52078"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-069-HEALTH_READINESS_ENGINEERING.md","48584"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-070-PERFORMANCE_ENGINEERING.md","49959"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-071-CAPACITY_ENGINEERING.md","58359"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-072-SCALABILITY_ENGINEERING.md","55429"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-073-AVAILABILITY_ENGINEERING.md","58085"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-074-RELIABILITY_ENGINEERING.md","56386"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-075-MAINTAINABILITY_ENGINEERING.md","59403"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-076-RECOVERABILITY_ENGINEERING.md","63045"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-077-DURABILITY_ENGINEERING.md","62351"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-078-CONSISTENCY_ENGINEERING.md","63424"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-079-DATA_INTEGRITY_ENGINEERING.md","62971"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-080-DATA_QUALITY_ENGINEERING.md","62108"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-081-DATA_GOVERNANCE_ENGINEERING.md","71231"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-082-DATA_PRIVACY_ENGINEERING.md","56264"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-083-DATA_COMPLIANCE_ENGINEERING.md","53203"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-084-DATA_ETHICS_ENGINEERING.md","57445"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-085-DATA_TRUST_ENGINEERING.md","55676"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-086-DATA_PRODUCT_ENGINEERING.md","36166"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-087-DATA_EXCHANGE_SHARING_ENGINEERING.md","29933"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-088-DATA_FEDERATION_ENGINEERING.md","40424"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-089-DATA_LINEAGE_PROVENANCE_ENGINEERING.md","29397"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-090-DATA_CATALOG_ENGINEERING.md","39839"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-091-DATA_DISCOVERY_CLASSIFICATION_ENGINEERING.md","41873"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-092-DATA_RETENTION_DISPOSAL_ENGINEERING.md","40984"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-093-DATA_ARCHIVAL_PRESERVATION_ENGINEERING.md","38017"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-094-DATA_PORTABILITY_ENGINEERING.md","36772"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-095-DATA_SYNCHRONIZATION_ENGINEERING.md","20863"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-096-DATA_REPLICATION_ENGINEERING.md","19309"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-097-DATA_PARTITIONING_SHARDING_ENGINEERING.md","18366"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-098-DATA_DISTRIBUTION_ENGINEERING.md","18948"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-099-DATA_LOCALIZATION_RESIDENCY_ENGINEERING.md","20189"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\ENG-100-DATA_LIFECYCLE_ORCHESTRATION_ENGINEERING.md","29462"
"KEEP","KEEP","Documentación normativa vigente","docs\02-INGENIERIA\README.md","14191"
"KEEP","KEEP","Documentación normativa vigente","docs\03-CONOCIMIENTO\KCS-001-SISTEMA-DE-CLASIFICACION.md","5699"
"KEEP","KEEP","Documentación normativa vigente","docs\03-CONOCIMIENTO\KCS-002-MODELO-DE-CONOCIMIENTO.md","2355"
"KEEP","KEEP","Documentación normativa vigente","docs\03-CONOCIMIENTO\README.md","821"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\03-negocio\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\04-datos\generador-avanzado-de-modulos.md","627"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\04-datos\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\05-seguridad\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\06-desarrollo\DEV-001-estructura-del-proyecto.md","5526"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\06-desarrollo\DEV-002-convenciones-de-desarrollo.md","6301"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\06-desarrollo\DEV-005 - capa-filesystem.md","2036"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\06-desarrollo\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\07-operacion\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\08-manuales\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\09-anexos\README.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\banner-github.svg","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\BRAND_GUIDE.md","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\favicon.svg","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\isotipo-mef.svg","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\logo-mef.svg","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\assets\brand\logo-mef-dark.svg","0"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001A-ARQUITECTURA.md","7847"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001B-CORE-Y-CICLO-DE-VIDA.md","7649"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001C-INYECCION-DE-DEPENDENCIAS-Y-CONTRATOS.md","7010"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001D-SISTEMA-DE-EVENTOS.md","6665"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001E-CONSTRUCCION-Y-GENERACION.md","6688"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001F-PLATFORM-Y-SERVICIOS-COMPARTIDOS.md","6044"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\DIC-001G-DESARROLLO-CALIDAD-Y-EXTENSIBILIDAD.md","5681"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\INDICE.md","608"
"KEEP","KEEP","Documentación vigente pendiente de consolidación","docs\DICCIONARIO\README.md","9766"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_10.6_CIERRE_FINAL_MEF_V3.md","2973"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_10.6_INDICE_MEF_V3.csv","37551"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_10_DICCIONARIO_MEF_V3.md","48374"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_10_RECONSTRUCCION_LIMPIA_DEL_DICCIONARIO_MEF-V3.md","6132"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11.1_EVIDENCIA_COBERTURA_MEF_V3.csv","4209223"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11.1_MATRIZ_COBERTURA_MEF_V3.csv","36915"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11.3_ALIASES_CONTROLADOS_MEF_V3.csv","4790"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11.4_VINCULACION_NORMATIVA_MEF_V3_FUENTES.csv","493283"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11.5_VALIDACION_TRANSVERSAL_MEF_V3.csv","18207"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11_1_MATRIZ_DE_COBERTURA_MEF_V3_FND_ARQ_ENG.md","2224"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11_4_VINCULACION_NORMATIVA_MEF_V3_CON_FUENTES.md","1586"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11_6_CIERRE_DE_INTEGRACION_NORMATIVA_MEF_V3.md","3505"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_11_INTEGRACION_NORMATIVA_MEF-V3.md","11807"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_12.1_CONTROLES_DE_GOBERNANZA.csv","356"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_12.1_MATRIZ_DE_AUTORIDAD_Y_DECISION.csv","541"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_12.2_CATALOGO_ESTADOS_Y_TIPOS_DE_CAMBIO.csv","1653"
"KEEP","KEEP","Baseline y gobernanza MEF-V3","docs\DICCIONARIO\V3\FASE_12.2_CONTROLES_MODELO_SOLICITUD_CAMBIO.csv","397"
