clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id,resolucion_autoridad_10_4,autoridad_principal,evidencia_subordinada,fundamento_autoridad,conflicto_detectado,decision_10_5,nombre_canonico_pre_id,aliases_provisionales,fundamento_10_5,estado_catalogo
dependency test,Dependency Test,Dependency Test,1,8,ENG,8,ENG-027;ENG-028;ENG-050;ENG-051;ENG-060;ENG-065;ENG-068;ENG-069,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-027;ENG-028;ENG-050;ENG-051;ENG-060;ENG-065;ENG-068;ENG-069,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dependency validation,Dependency Validation,Dependency Validation,1,3,ENG,3,ENG-008;ENG-028;ENG-051,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-008;ENG-028;ENG-051,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deployment,Deployment,Deployment,1,4,ENG,3,ENG-040;ENG-041;ENG-067,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-040;ENG-041;ENG-067,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deployment engineering,Deployment Engineering,Deployment Engineering,1,3,ENG,1,ENG-067,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-067,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deployment integration,Deployment Integration,Deployment Integration,1,3,ENG,3,ENG-068;ENG-071;ENG-073,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-068;ENG-071;ENG-073,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deprecation,Deprecation,Deprecation,1,12,ENG,11,ENG-008;ENG-011;ENG-014;ENG-021;ENG-029;ENG-031;ENG-034;ENG-035;ENG-036;ENG-044;ENG-075,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-008;ENG-011;ENG-014;ENG-021;ENG-029;ENG-031;ENG-034;ENG-035;ENG-036;ENG-044;ENG-075,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deprecation metadata,Deprecation Metadata,Deprecation Metadata,1,6,ENG,6,ENG-014;ENG-020;ENG-021;ENG-029;ENG-057;ENG-075,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-014;ENG-020;ENG-021;ENG-029;ENG-057;ENG-075,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deprovisioning,Deprovisioning,DEPROVISIONING; Deprovisioning,2,3,ENG,1,ENG-047,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-047,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
derived state,Derived State,Derived State,1,3,ENG,3,ENG-053;ENG-077;ENG-079,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-053;ENG-077;ENG-079,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deserialization,Deserialization,Deserialization,1,4,ENG,2,ENG-024;ENG-031,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-024;ENG-031,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
deserialization security,Deserialization Security,Deserialization Security,1,3,ENG,3,ENG-031;ENG-041;ENG-061,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-031;ENG-041;ENG-061,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
destination,Destination,Destination,1,3,ENG,2,ENG-041;ENG-089,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-041;ENG-089,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
destroy,Destroy,Destroy,1,2,ENG,1,ENG-092,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-092,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
determinism,Determinism,Determinism,1,5,ENG,5,ENG-015;ENG-018;ENG-026;ENG-031;ENG-052,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-015;ENG-018;ENG-026;ENG-031;ENG-052,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
determinism test,Determinism Test,Determinism Test,1,5,ENG,5,ENG-031;ENG-057;ENG-058;ENG-059;ENG-063,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-031;ENG-057;ENG-058;ENG-059;ENG-063,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
determinismo,Determinismo,Determinismo,1,5,ENG,5,ENG-003;ENG-007;ENG-008;ENG-009;ENG-012,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-003;ENG-007;ENG-008;ENG-009;ENG-012,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
di,DI,DI,1,3,ENG,3,ENG-005;ENG-018;ENG-035,DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-005;ENG-018;ENG-035,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
di integration,DI Integration,DI Integration,1,5,ENG,5,ENG-028;ENG-029;ENG-030;ENG-032;ENG-042,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-028;ENG-029;ENG-030;ENG-032;ENG-042,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
diagnosability,Diagnosability,Diagnosability,1,2,ENG,1,ENG-075,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-075,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
diagnostic,Diagnostics,Diagnostics,1,17,ENG,15,ENG-013;ENG-014;ENG-018;ENG-020;ENG-022;ENG-025;ENG-063;ENG-069;ENG-074;ENG-077;ENG-089;ENG-091;ENG-092;ENG-093;ENG-094,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-013;ENG-014;ENG-018;ENG-020;ENG-022;ENG-025;ENG-063;ENG-069;ENG-074;ENG-077;ENG-089;ENG-091;ENG-092;ENG-093;ENG-094,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dirty read,Dirty Read,Dirty Read,1,3,ENG,3,ENG-038;ENG-042;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-038;ENG-042;ENG-078,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery,Discovery,Discovery,1,7,ENG,4,ENG-020;ENG-028;ENG-029;ENG-058,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-020;ENG-028;ENG-029;ENG-058,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery determinism,Discovery Determinism,Discovery Determinism,1,3,ENG,3,ENG-020;ENG-057;ENG-058,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-020;ENG-057;ENG-058,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery engineering,Discovery Engineering,Discovery Engineering,1,4,ENG,2,ENG-057;ENG-058,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-057;ENG-058,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery sourc,Discovery Sources,Discovery Sources; discovery:sources,2,6,ENG,6,ENG-029;ENG-057;ENG-058;ENG-060;ENG-062;ENG-063,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-029;ENG-057;ENG-058;ENG-060;ENG-062;ENG-063,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,discovery:sources,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery source,Discovery Source,Discovery Source,1,3,ENG,2,ENG-058;ENG-091,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-058;ENG-091,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
discovery target,Discovery Target,Discovery Target,1,3,ENG,2,ENG-058;ENG-091,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-058;ENG-091,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dispatch,Dispatch,Dispatch,1,2,ENG,1,ENG-022,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-022,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
disposal idempotency,Disposal Idempotency,Disposal Idempotency,1,3,ENG,3,ENG-053;ENG-055;ENG-092,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-053;ENG-055;ENG-092,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
distributed lock,Distributed Lock,Distributed Lock,1,4,ENG,4,ENG-026;ENG-037;ENG-038;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-026;ENG-037;ENG-038;ENG-078,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
distributed transaction,Distributed Transaction,Distributed Transaction,1,5,ENG,5,ENG-022;ENG-030;ENG-041;ENG-042;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-022;ENG-030;ENG-041;ENG-042;ENG-078,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
distribution integrity,Distribution Integrity,Distribution Integrity,1,3,ENG,3,ENG-049;ENG-051;ENG-067,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-049;ENG-051;ENG-067,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dlq test,DLQ Test,DLQ Test,1,3,ENG,3,ENG-022;ENG-040;ENG-041,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-022;ENG-040;ENG-041,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
documentation,Documentation,DOCUMENTATION; Documentation,2,5,ENG,5,ENG-003;ENG-014;ENG-037;ENG-039;ENG-044,ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-003;ENG-014;ENG-037;ENG-039;ENG-044,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
documentation generation,Documentation Generation,Documentation Generation,1,5,ENG,5,ENG-007;ENG-008;ENG-011;ENG-015;ENG-057,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-007;ENG-008;ENG-011;ENG-015;ENG-057,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain,Domain,/Domain; Domain,2,9,ENG,5,ENG-006;ENG-035;ENG-039;ENG-040;ENG-041,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-006;ENG-035;ENG-039;ENG-040;ENG-041,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,/Domain,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain boundary,Domain Boundary,Domain Boundary,1,3,ENG,3,ENG-035;ENG-051;ENG-081,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-035;ENG-051;ENG-081,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain engineering,Domain Engineering,Domain Engineering,1,3,ENG,2,ENG-035;ENG-079,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-035;ENG-079,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain error,Domain Error,Domain Error; Domain Errors,2,5,ENG,3,ENG-023;ENG-034;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-023;ENG-034;ENG-035,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,Domain Errors,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain event,Domain Event,Domain Event,1,5,ENG,3,ENG-022;ENG-030;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-022;ENG-030;ENG-035,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain integration,Domain Integration,Domain Integration,1,8,ENG,8,ENG-042;ENG-046;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-042;ENG-046;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain invariant,Domain Invariant,Domain Invariant,1,3,ENG,3,ENG-034;ENG-035;ENG-039,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-034;ENG-035;ENG-039,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
domain model,Domain Model,Domain Model,1,5,ENG,3,ENG-030;ENG-034;ENG-035,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-030;ENG-034;ENG-035,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
downcasting,Downcasting,Downcasting,1,3,ENG,3,ENG-022;ENG-031;ENG-041,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-022;ENG-031;ENG-041,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
draft,Draft,Draft,1,6,ENG,3,ENG-017;ENG-021;ENG-049,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-017;ENG-021;ENG-049,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
drain,Drain,Drain,1,5,ENG,5,ENG-038;ENG-039;ENG-055;ENG-064;ENG-077,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-038;ENG-039;ENG-055;ENG-064;ENG-077,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
drift detection,Drift Detection,Drift Detection,1,5,ENG,5,ENG-008;ENG-013;ENG-049;ENG-068;ENG-079,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-008;ENG-013;ENG-049;ENG-068;ENG-079,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
drift exampl,Drift Examples,Drift Examples,1,5,ENG,5,ENG-068;ENG-081;ENG-083;ENG-084;ENG-085,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-068;ENG-081;ENG-083;ENG-084;ENG-085,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
drift test,Drift Test,Drift Test,1,3,ENG,3,ENG-049;ENG-068;ENG-084,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-049;ENG-068;ENG-084,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dry run,Dry Run,Dry Run,1,7,ENG,7,ENG-007;ENG-008;ENG-013;ENG-014;ENG-047;ENG-063;ENG-065,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-007;ENG-008;ENG-013;ENG-014;ENG-047;ENG-063;ENG-065,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
dto,DTO,DTO,1,3,ENG,2,ENG-005;ENG-034,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO,ENG_SUBORDINADO,,ENG-005;ENG-034,Sólo existe evidencia ENG; se conserva como evidencia técnica subordinada.,NO,DIFERIDO_ENG_ONLY,,,"Sólo posee evidencia ENG subordinada. Se conserva para compatibilidad/evolución, pero no se canoniza automáticamente.",DIFERIDO_ENG_ONLY
