termino_extraido,variante_original,capa,fuente_id,archivo,linea,tipo_evidencia,contexto,estado_10_2,clave_lexica_provisional,apariciones
Event Handle Span,Event Handle Span,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2044,ENCABEZADO,205. Event Handle Span,CANDIDATO_BRUTO_NO_CANONIZADO,event handle span,1
Container Resolution Span,Container Resolution Span,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2052,ENCABEZADO,206. Container Resolution Span,CANDIDATO_BRUTO_NO_CANONIZADO,container resolution span,1
Instrumentation Cost,Instrumentation Cost,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2058,ENCABEZADO,207. Instrumentation Cost,CANDIDATO_BRUTO_NO_CANONIZADO,instrumentation cost,1
Cost Awareness,Cost Awareness,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2064,ENCABEZADO,208. Cost Awareness,CANDIDATO_BRUTO_NO_CANONIZADO,cost awareness,2
Hot Paths,Hot Paths,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2078,ENCABEZADO,209. Hot Paths,CANDIDATO_BRUTO_NO_CANONIZADO,hot paths,1
Lazy Attribute Evaluation,Lazy Attribute Evaluation,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2084,ENCABEZADO,210. Lazy Attribute Evaluation,CANDIDATO_BRUTO_NO_CANONIZADO,lazy attribute evaluation,1
Benchmarking,Benchmarking,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2090,ENCABEZADO,211. Benchmarking,CANDIDATO_BRUTO_NO_CANONIZADO,benchmarking,1
Observability Overhead,Observability Overhead,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2096,ENCABEZADO,212. Observability Overhead,CANDIDATO_BRUTO_NO_CANONIZADO,observability overhead,1
Performance Budget,Performance Budget,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2108,ENCABEZADO,213. Performance Budget,CANDIDATO_BRUTO_NO_CANONIZADO,performance budget,4
Health Performance,Health Performance,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2114,ENCABEZADO,214. Health Performance,CANDIDATO_BRUTO_NO_CANONIZADO,health performance,1
Diagnostic Performance,Diagnostic Performance,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2120,ENCABEZADO,215. Diagnostic Performance,CANDIDATO_BRUTO_NO_CANONIZADO,diagnostic performance,1
Continuous Diagnostics,Continuous Diagnostics,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2126,ENCABEZADO,216. Continuous Diagnostics,CANDIDATO_BRUTO_NO_CANONIZADO,continuous diagnostics,1
Event Bus Integration,Event Bus Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2132,ENCABEZADO,217. Event Bus Integration,CANDIDATO_BRUTO_NO_CANONIZADO,event bus integration,6
Error Handling Integration,Error Handling Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2146,ENCABEZADO,218. Error Handling Integration,CANDIDATO_BRUTO_NO_CANONIZADO,error handling integration,2
Security Integration,Security Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2161,ENCABEZADO,219. Security Integration,CANDIDATO_BRUTO_NO_CANONIZADO,security integration,6
Registry Integration,Registry Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2174,ENCABEZADO,220. Registry Integration,CANDIDATO_BRUTO_NO_CANONIZADO,registry integration,58
Registry Freeze,Registry Freeze,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2187,ENCABEZADO,221. Registry Freeze,CANDIDATO_BRUTO_NO_CANONIZADO,registry freeze,3
Container Integration,Container Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2193,ENCABEZADO,222. Container Integration,CANDIDATO_BRUTO_NO_CANONIZADO,container integration,8
Dependency Injection,Dependency Injection,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2199,ENCABEZADO,223. Dependency Injection,CANDIDATO_BRUTO_NO_CANONIZADO,dependency injection,12
Contract Integration,Contract Integration,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2213,ENCABEZADO,224. Contract Integration,CANDIDATO_BRUTO_NO_CANONIZADO,contract integration,3
Module Manifest,Module Manifest,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2219,ENCABEZADO,225. Module Manifest,CANDIDATO_BRUTO_NO_CANONIZADO,module manifest,3
No Manifest Overload,No Manifest Overload,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2233,ENCABEZADO,226. No Manifest Overload,CANDIDATO_BRUTO_NO_CANONIZADO,no manifest overload,1
Auto-Instrumentation,Auto-Instrumentation,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2239,ENCABEZADO,227. Auto-Instrumentation,CANDIDATO_BRUTO_NO_CANONIZADO,auto-instrumentation,1
Auto-Instrumentation Limits,Auto-Instrumentation Limits,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2245,ENCABEZADO,228. Auto-Instrumentation Limits,CANDIDATO_BRUTO_NO_CANONIZADO,auto-instrumentation limits,1
Open Standards,Open Standards,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2251,ENCABEZADO,229. Open Standards,CANDIDATO_BRUTO_NO_CANONIZADO,open standards,1
OpenTelemetry Compatibility,OpenTelemetry Compatibility,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2257,ENCABEZADO,230. OpenTelemetry Compatibility,CANDIDATO_BRUTO_NO_CANONIZADO,opentelemetry compatibility,1
Prometheus Compatibility,Prometheus Compatibility,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2271,ENCABEZADO,231. Prometheus Compatibility,CANDIDATO_BRUTO_NO_CANONIZADO,prometheus compatibility,1
Backend Independence,Backend Independence,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2277,ENCABEZADO,232. Backend Independence,CANDIDATO_BRUTO_NO_CANONIZADO,backend independence,1
Multi-Exporter,Multi-Exporter,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2283,ENCABEZADO,233. Multi-Exporter,CANDIDATO_BRUTO_NO_CANONIZADO,multi-exporter,1
Exporter Isolation,Exporter Isolation,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2289,ENCABEZADO,234. Exporter Isolation,CANDIDATO_BRUTO_NO_CANONIZADO,exporter isolation,1
Exporter Security,Exporter Security,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2295,ENCABEZADO,235. Exporter Security,CANDIDATO_BRUTO_NO_CANONIZADO,exporter security,1
Telemetry Transport,Telemetry Transport,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2301,ENCABEZADO,236. Telemetry Transport,CANDIDATO_BRUTO_NO_CANONIZADO,telemetry transport,1
Observability Access,Observability Access,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2307,ENCABEZADO,237. Observability Access,CANDIDATO_BRUTO_NO_CANONIZADO,observability access,1
Diagnostic Access Control,Diagnostic Access Control,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2313,ENCABEZADO,238. Diagnostic Access Control,CANDIDATO_BRUTO_NO_CANONIZADO,diagnostic access control,1
Production Exposure,Production Exposure,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2319,ENCABEZADO,239. Production Exposure,CANDIDATO_BRUTO_NO_CANONIZADO,production exposure,1
Health Endpoint Exposure,Health Endpoint Exposure,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2325,ENCABEZADO,240. Health Endpoint Exposure,CANDIDATO_BRUTO_NO_CANONIZADO,health endpoint exposure,1
Alerting,Alerting,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2331,ENCABEZADO,241. Alerting,CANDIDATO_BRUTO_NO_CANONIZADO,alerting,4
Alerting Is External,Alerting Is External,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2337,ENCABEZADO,242. Alerting Is External,CANDIDATO_BRUTO_NO_CANONIZADO,alerting is external,1
Framework Alerts,Framework Alerts,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2343,ENCABEZADO,243. Framework Alerts,CANDIDATO_BRUTO_NO_CANONIZADO,framework alerts,1
SLI,SLI,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2349,ENCABEZADO,244. SLI,CANDIDATO_BRUTO_NO_CANONIZADO,sli,3
SLO,SLO,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2355,ENCABEZADO,245. SLO,CANDIDATO_BRUTO_NO_CANONIZADO,slo,4
Error Budget,Error Budget,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2361,ENCABEZADO,246. Error Budget,CANDIDATO_BRUTO_NO_CANONIZADO,error budget,2
Framework Responsibility,Framework Responsibility,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2367,ENCABEZADO,247. Framework Responsibility,CANDIDATO_BRUTO_NO_CANONIZADO,framework responsibility,1
Diagnostic Bundle,Diagnostic Bundle,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2373,ENCABEZADO,248. Diagnostic Bundle,CANDIDATO_BRUTO_NO_CANONIZADO,diagnostic bundle,2
Bundle Contents,Bundle Contents,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2383,ENCABEZADO,249. Bundle Contents,CANDIDATO_BRUTO_NO_CANONIZADO,bundle contents,1
Bundle Redaction,Bundle Redaction,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2399,ENCABEZADO,250. Bundle Redaction,CANDIDATO_BRUTO_NO_CANONIZADO,bundle redaction,1
Support Bundle,Support Bundle,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2405,ENCABEZADO,251. Support Bundle,CANDIDATO_BRUTO_NO_CANONIZADO,support bundle,1
Reproducibility,Reproducibility,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2411,ENCABEZADO,252. Reproducibility,CANDIDATO_BRUTO_NO_CANONIZADO,reproducibility,5
Environment Fingerprint,Environment Fingerprint,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2417,ENCABEZADO,253. Environment Fingerprint,CANDIDATO_BRUTO_NO_CANONIZADO,environment fingerprint,1
Environment Privacy,Environment Privacy,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2431,ENCABEZADO,254. Environment Privacy,CANDIDATO_BRUTO_NO_CANONIZADO,environment privacy,2
Observability Error Namespace,Observability Error Namespace,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2437,ENCABEZADO,255. Observability Error Namespace,CANDIDATO_BRUTO_NO_CANONIZADO,observability error namespace,1
Taxonomía ENG-025,Taxonomía ENG-025,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2447,ENCABEZADO,256. Taxonomía ENG-025,CANDIDATO_BRUTO_NO_CANONIZADO,taxonomía eng-025,1
Invalid Metric,Invalid Metric,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2474,ENCABEZADO,257. Invalid Metric,CANDIDATO_BRUTO_NO_CANONIZADO,invalid metric,1
High Cardinality,High Cardinality,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2490,ENCABEZADO,258. High Cardinality,CANDIDATO_BRUTO_NO_CANONIZADO,high cardinality,9
Health Timeout,Health Timeout,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2506,ENCABEZADO,259. Health Timeout,CANDIDATO_BRUTO_NO_CANONIZADO,health timeout,2
Sensitive Telemetry,Sensitive Telemetry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2522,ENCABEZADO,260. Sensitive Telemetry,CANDIDATO_BRUTO_NO_CANONIZADO,sensitive telemetry,1
Observability Invariant Violation,Observability Invariant Violation,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2535,ENCABEZADO,261. Observability Invariant Violation,CANDIDATO_BRUTO_NO_CANONIZADO,observability invariant violation,1
Failure Classification,Failure Classification,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2548,ENCABEZADO,262. Failure Classification,CANDIDATO_BRUTO_NO_CANONIZADO,failure classification,3
Exceptions,Exceptions,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2560,ENCABEZADO,263. Exceptions,CANDIDATO_BRUTO_NO_CANONIZADO,exceptions,1
Mandatory Telemetry,Mandatory Telemetry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2566,ENCABEZADO,264. Mandatory Telemetry,CANDIDATO_BRUTO_NO_CANONIZADO,mandatory telemetry,1
Audit Distinction,Audit Distinction,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2572,ENCABEZADO,265. Audit Distinction,CANDIDATO_BRUTO_NO_CANONIZADO,audit distinction,1
Graceful Degradation,Graceful Degradation,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2578,ENCABEZADO,266. Graceful Degradation,CANDIDATO_BRUTO_NO_CANONIZADO,graceful degradation,5
Export Retry,Export Retry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2594,ENCABEZADO,267. Export Retry,CANDIDATO_BRUTO_NO_CANONIZADO,export retry,1
Retry Boundaries,Retry Boundaries,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2600,ENCABEZADO,268. Retry Boundaries,CANDIDATO_BRUTO_NO_CANONIZADO,retry boundaries,1
Buffering,Buffering,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2606,ENCABEZADO,269. Buffering,CANDIDATO_BRUTO_NO_CANONIZADO,buffering,3
Buffer Limit,Buffer Limit,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2612,ENCABEZADO,270. Buffer Limit,CANDIDATO_BRUTO_NO_CANONIZADO,buffer limit,1
Disk Buffer,Disk Buffer,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2618,ENCABEZADO,271. Disk Buffer,CANDIDATO_BRUTO_NO_CANONIZADO,disk buffer,1
Telemetry Loss,Telemetry Loss,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2631,ENCABEZADO,272. Telemetry Loss,CANDIDATO_BRUTO_NO_CANONIZADO,telemetry loss,1
Delivery Guarantee,Delivery Guarantee,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2637,ENCABEZADO,273. Delivery Guarantee,CANDIDATO_BRUTO_NO_CANONIZADO,delivery guarantee,1
Health Reliability,Health Reliability,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2649,ENCABEZADO,274. Health Reliability,CANDIDATO_BRUTO_NO_CANONIZADO,health reliability,1
Observability Truth,Observability Truth,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2655,ENCABEZADO,275. Observability Truth,CANDIDATO_BRUTO_NO_CANONIZADO,observability truth,1
Telemetry,Telemetry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2657,DEFINICION_EXPLICITA,"Telemetry representa observaciones, no una verdad absoluta del sistema.",CANDIDATO_BRUTO_NO_CANONIZADO,telemetry,4
Diagnostic Consistency,Diagnostic Consistency,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2661,ENCABEZADO,276. Diagnostic Consistency,CANDIDATO_BRUTO_NO_CANONIZADO,diagnostic consistency,1
Runtime Shutdown,Runtime Shutdown,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2667,ENCABEZADO,277. Runtime Shutdown,CANDIDATO_BRUTO_NO_CANONIZADO,runtime shutdown,4
Flush Timeout,Flush Timeout,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2673,ENCABEZADO,278. Flush Timeout,CANDIDATO_BRUTO_NO_CANONIZADO,flush timeout,1
Shutdown Telemetry,Shutdown Telemetry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2679,ENCABEZADO,279. Shutdown Telemetry,CANDIDATO_BRUTO_NO_CANONIZADO,shutdown telemetry,1
Fatal Error Telemetry,Fatal Error Telemetry,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2690,ENCABEZADO,280. Fatal Error Telemetry,CANDIDATO_BRUTO_NO_CANONIZADO,fatal error telemetry,1
Crash Limitations,Crash Limitations,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2696,ENCABEZADO,281. Crash Limitations,CANDIDATO_BRUTO_NO_CANONIZADO,crash limitations,1
Bootstrap Failure,Bootstrap Failure,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2702,ENCABEZADO,282. Bootstrap Failure,CANDIDATO_BRUTO_NO_CANONIZADO,bootstrap failure,28
Early Diagnostics,Early Diagnostics,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2708,ENCABEZADO,283. Early Diagnostics,CANDIDATO_BRUTO_NO_CANONIZADO,early diagnostics,1
Bootstrap Provider,Bootstrap Provider,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2714,ENCABEZADO,284. Bootstrap Provider,CANDIDATO_BRUTO_NO_CANONIZADO,bootstrap provider,1
Provider Transition,Provider Transition,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2727,ENCABEZADO,285. Provider Transition,CANDIDATO_BRUTO_NO_CANONIZADO,provider transition,1
Operational Readiness,Operational Readiness,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2733,ENCABEZADO,286. Operational Readiness,CANDIDATO_BRUTO_NO_CANONIZADO,operational readiness,1
Observability Checklist,Observability Checklist,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2748,ENCABEZADO,287. Observability Checklist,CANDIDATO_BRUTO_NO_CANONIZADO,observability checklist,1
Primera Implementación Recomendada,Primera Implementación Recomendada,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2765,ENCABEZADO,288. Primera Implementación Recomendada,CANDIDATO_BRUTO_NO_CANONIZADO,primera implementación recomendada,9
Estructura Conceptual,Estructura Conceptual,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2796,ENCABEZADO,289. Estructura Conceptual,CANDIDATO_BRUTO_NO_CANONIZADO,estructura conceptual,14
Segunda Fase,Segunda Fase,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2826,ENCABEZADO,290. Segunda Fase,CANDIDATO_BRUTO_NO_CANONIZADO,segunda fase,9
Tercera Fase,Tercera Fase,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2841,ENCABEZADO,291. Tercera Fase,CANDIDATO_BRUTO_NO_CANONIZADO,tercera fase,9
Invariantes de Ingeniería,Invariantes de Ingeniería,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2857,ENCABEZADO,292. Invariantes de Ingeniería,CANDIDATO_BRUTO_NO_CANONIZADO,invariantes de ingeniería,94
EI,EI,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2859,CODIGO_INLINE,ENG-025 continúa la serie global EI .,CANDIDATO_BRUTO_NO_CANONIZADO,ei,99
ID,ID,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2861,TABLA_COLUMNA_PRINCIPAL,ID Invariante,CANDIDATO_BRUTO_NO_CANONIZADO,id,103
EI-446,EI-446,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2863,TABLA_COLUMNA_PRINCIPAL,EI-446 Todo componente arquitectónicamente significativo deberá poder producir información suficiente para diagnosticar su estado sin requerir inspección directa de su implementación.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-446,1
EI-447,EI-447,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2864,TABLA_COLUMNA_PRINCIPAL,"EI-447 Logging, Metrics, Tracing, Health y Diagnostics deberán mantenerse como señales conceptualmente diferenciadas aunque puedan correlacionarse.",CANDIDATO_BRUTO_NO_CANONIZADO,ei-447,1
EI-448,EI-448,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2865,TABLA_COLUMNA_PRINCIPAL,EI-448 La instrumentación de Observability no deberá modificar el resultado funcional de una operación de negocio.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-448,1
EI-449,EI-449,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2866,TABLA_COLUMNA_PRINCIPAL,EI-449 La Failure de un Provider o Exporter de Telemetry no deberá provocar automáticamente Failure del Business Runtime.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-449,1
EI-450,EI-450,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2867,TABLA_COLUMNA_PRINCIPAL,EI-450 Las señales relacionadas con una misma operación deberán poder correlacionarse mediante identificadores estructurados cuando exista Context disponible.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-450,1
EI-451,EI-451,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2868,TABLA_COLUMNA_PRINCIPAL,"EI-451 Correlation ID, Trace ID y Span ID no deberán utilizarse como mecanismos de Authentication o Authorization.",CANDIDATO_BRUTO_NO_CANONIZADO,ei-451,1
EI-452,EI-452,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2869,TABLA_COLUMNA_PRINCIPAL,EI-452 Las Metrics deberán evitar Labels de cardinalidad no controlada.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-452,1
EI-453,EI-453,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2870,TABLA_COLUMNA_PRINCIPAL,"EI-453 Los nombres, unidades y semántica de Metrics oficiales deberán mantenerse estables cuando sean consumidos por Tooling externo.",CANDIDATO_BRUTO_NO_CANONIZADO,ei-453,1
EI-454,EI-454,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2871,TABLA_COLUMNA_PRINCIPAL,EI-454 Telemetry no deberá contener Secrets ni información sensible innecesaria.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-454,1
EI-455,EI-455,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2872,TABLA_COLUMNA_PRINCIPAL,EI-455 Health y Runtime State deberán mantenerse como conceptos independientes.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-455,1
EI-456,EI-456,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2873,TABLA_COLUMNA_PRINCIPAL,EI-456 Todo Health Check deberá ser limitado en tiempo y evitar Side Effects de negocio.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-456,1
EI-457,EI-457,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2874,TABLA_COLUMNA_PRINCIPAL,EI-457 La agregación de Health deberá considerar criticidad de Components y no degradar automáticamente todo Runtime por cualquier Failure opcional.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-457,1
EI-458,EI-458,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2875,TABLA_COLUMNA_PRINCIPAL,EI-458 Los Diagnostics deberán respetar Security Policy y aplicar Redaction antes de exposición.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-458,1
EI-459,EI-459,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2876,TABLA_COLUMNA_PRINCIPAL,EI-459 Trace Sampling no deberá modificar el comportamiento funcional de la operación instrumentada.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-459,1
EI-460,EI-460,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2877,TABLA_COLUMNA_PRINCIPAL,EI-460 La propagación de Context deberá respetar Trust Boundaries y no aceptar Metadata externa arbitraria como confiable.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-460,1
EI-461,EI-461,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2878,TABLA_COLUMNA_PRINCIPAL,EI-461 Telemetry deberá utilizar recursos limitados y no competir ilimitadamente con Business Workload.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-461,1
EI-462,EI-462,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2879,TABLA_COLUMNA_PRINCIPAL,EI-462 Los Exporters deberán evitar ciclos recursivos de Error Reporting.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-462,1
EI-463,EI-463,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2880,TABLA_COLUMNA_PRINCIPAL,EI-463 La observabilidad del Bootstrap deberá comenzar suficientemente temprano para permitir diagnosticar Failures de inicialización.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-463,1
EI-464,EI-464,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2881,TABLA_COLUMNA_PRINCIPAL,EI-464 Los cambios en Telemetry Contracts consumidos externamente deberán someterse a Compatibility Analysis.,CANDIDATO_BRUTO_NO_CANONIZADO,ei-464,1
EI-465,EI-465,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2882,TABLA_COLUMNA_PRINCIPAL,"EI-465 MEF no deberá afirmar garantías de entrega, consistencia o completitud de Telemetry superiores a las realmente proporcionadas por la Implementation.",CANDIDATO_BRUTO_NO_CANONIZADO,ei-465,1
Continuidad de Invariantes,Continuidad de Invariantes,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2886,ENCABEZADO,293. Continuidad de Invariantes,CANDIDATO_BRUTO_NO_CANONIZADO,continuidad de invariantes,72
Criterios de Conformidad,Criterios de Conformidad,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2901,ENCABEZADO,294. Criterios de Conformidad,CANDIDATO_BRUTO_NO_CANONIZADO,criterios de conformidad,95
Riesgos,Riesgos,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2924,ENCABEZADO,295. Riesgos,CANDIDATO_BRUTO_NO_CANONIZADO,riesgos,93
Logging Is Observability,Logging Is Observability,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2928,ENCABEZADO,Logging Is Observability,CANDIDATO_BRUTO_NO_CANONIZADO,logging is observability,1
Metrics with Unlimited Labels,Metrics with Unlimited Labels,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2932,ENCABEZADO,Metrics with Unlimited Labels,CANDIDATO_BRUTO_NO_CANONIZADO,metrics with unlimited labels,1
User IDs as Metric Labels,User IDs as Metric Labels,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2936,ENCABEZADO,User IDs as Metric Labels,CANDIDATO_BRUTO_NO_CANONIZADO,user ids as metric labels,1
Trace Everything,Trace Everything,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2940,ENCABEZADO,Trace Everything,CANDIDATO_BRUTO_NO_CANONIZADO,trace everything,1
Telemetry Changes Behavior,Telemetry Changes Behavior,ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,2944,ENCABEZADO,Telemetry Changes Behavior,CANDIDATO_BRUTO_NO_CANONIZADO,telemetry changes behavior,1
